          100nF,  1,"C12"
            10k,  4,"R7, R8, R9, R10"
           10nF,  2,"C8, C18"
           10uF,  1,"C13"
            18k,  1,"R13"
            1uF,  7,"C11, C21, C23, C25, C27, C29, C31"
           2.2M,  1,"R1"
             20, 12,"R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33"
           205k,  1,"R11"
          20MHz,  1,"X1"
       2A DIODE,  1,"D8"
           4.7k,  2,"R15, R16"
          4.7uF,  1,"C9"
           470k,  1,"R2"
         60mOhm,  1,"R12"
           7803,  1,"U1"
           7805,  1,"U2"
          8.2uH,  1,"L1"
           9k76,  1,"R14"
              C, 19,"C1, C2, C3, C4, C5, C6, C7, C10, C14, C15, C16, C17, C19, C20, C22, C24, C26, C28, C30"
         CONN_2,  7,"P9, P10, P11, P12, P13, P14, P15"
       CONN_2X2,  1,"P16"
         CONN_4,  4,"P1, P2, P4, P7"
         CONN_5,  1,"P8"
         CONN_6,  3,"P3, P5, P6"
          DIODE,  3,"D1, D2, D3"
         IR2184,  6,"U6, U7, U8, U9, U10, U11"
         JUMPER, 12,"JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9, JP10, JP11, JP12"
            LED,  4,"D4, D5, D6, D7"
        LM25011,  1,"U5"
          LM358,  1,"U3"
       MOSFET_N, 12,"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12"
         MUR120,  6,"D9, D10, D11, D12, D13, D14"
            POT,  2,"RV1, RV2"
              R, 10,"1M1, R3, R4, R5, R6, R17, R18, R19, R20, R21"
STM32L100XX_LQFP64,  1,"U4"
            USB,  1,"J1"
